ticker,close,as_of,trend,momentum,volatility,setup,total,status,action,entry_lo,entry_hi,stop,atr_pct,rsi,note,ta_action,override,reason
ROKU,156.62,2026-09-15,100,55,85,75,80,상승·눌림,대기,154.28,155.99,148.11,1.36,56.4,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
NEOG,12.25,2026-09-15,100,68,70,50,75,중립·대기,대기,11.52,11.86,10.8,3.44,64.5,셋업 대기,대기,—,
NTRA,350.78,2026-09-15,100,68,70,50,75,중립·대기,대기,320.34,329.31,293.04,3.2,70.5,셋업 대기,대기,—,
ECPG,98.8,2026-09-15,100,48,50,75,73,상승·눌림,대기,96.42,99.33,92.48,3.69,52.3,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
SBLK,31.21,2026-09-15,100,66,70,40,72,중립·대기,대기,30.03,30.77,28.09,2.95,59.0,셋업 대기,대기,—,
BLFS,36.39,2026-09-15,95,64,70,40,70,중립·대기,대기,34.93,35.73,32.52,2.75,61.2,셋업 대기,대기,—,
FIVE,236.07,2026-09-15,80,46,50,40,57,중립·대기,대기,237.86,246.26,223.32,4.45,47.1,셋업 대기,대기,—,
LITE,838.96,2026-09-15,60,33,20,40,42,약세/비정렬,신규금지,854.4,907.41,785.95,7.9,46.2,EMA50 하회 또는 추세 약함,신규금지,—,
