ticker,close,as_of,trend,momentum,volatility,setup,total,status,action,entry_lo,entry_hi,stop,atr_pct,rsi,note,ta_action,override,reason
FA,20.49,2026-09-21,80,44,50,75,65,상승·눌림,분할OK,20.57,21.25,19.74,4.16,46.4,추세 정렬 + EMA20 부근 셋업,분할OK,—,
FIVE,236.14,2026-09-21,75,42,50,75,63,상승·눌림,분할OK,235.94,243.71,224.62,4.11,47.4,추세 정렬 + EMA20 부근 셋업,분할OK,—,
ECPG,99.37,2026-09-21,100,51,70,75,77,상승·눌림,대기,96.98,99.76,93.25,3.49,53.0,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
BLFS,37.18,2026-09-21,100,65,70,40,72,중립·대기,대기,35.39,36.14,33.07,2.53,64.5,셋업 대기,대기,—,
ROKU,154.33,2026-09-21,75,48,85,80,71,상승·눌림,대기,153.95,155.61,148.82,1.35,50.0,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
SBLK,31.73,2026-09-21,100,63,70,40,71,중립·대기,대기,30.44,31.18,28.52,2.91,58.8,셋업 대기,대기,—,
APA,43.81,2026-09-21,80,54,50,80,69,상승·눌림,대기,43.04,44.28,39.96,3.54,52.9,추세 정렬 + EMA20 부근 셋업 | 포트 정책 추가금지,분할OK,NO_ADD,포트 정책 추가금지
LITE,954.49,2026-09-21,100,66,35,40,67,중립·대기,대기,867.29,920.21,817.84,6.93,55.9,셋업 대기,대기,—,
NTRA,370.64,2026-09-21,100,75,70,20,69,과열,신규금지,332.55,342.01,301.62,3.19,74.6,RSI과열 또는 EMA20 과이격,신규금지,—,
